vitesse_vent_ms,temperature_c,densite_air_kg_m3,turbulence_pct,energie_kwh
6.025,18.718,1.209,6.07,685.35
13.615,31.236,1.16,6.723,1959.82
15.882,4.037,1.273,10.889,910.93
8.97,-3.419,1.309,19.327,198.21
17.183,20.852,1.201,4.939,2000.0
3.905,13.196,1.233,6.46,0.0
18.375,21.99,1.196,4.69,2000.0
11.399,4.61,1.271,9.224,870.79
14.755,0.998,1.288,10.74,1908.55
15.74,0.585,1.29,4.999,1285.78
18.131,2.907,1.279,14.13,335.87
6.312,18.741,1.209,12.67,189.72
12.747,29.414,1.167,21.642,1639.5
10.204,20.236,1.203,5.564,1355.78
9.397,21.067,1.2,16.934,967.14
6.194,8.815,1.252,19.433,909.25
14.236,21.218,1.199,14.152,1927.3
15.243,21.874,1.196,16.775,1299.41
7.531,-4.154,1.312,22.292,13.46
10.386,31.876,1.157,21.28,1182.17
12.033,24.325,1.187,17.215,1479.55
15.615,17.799,1.213,21.486,770.34
17.755,28.064,1.172,22.492,1509.96
5.955,1.144,1.287,14.497,197.15
12.819,-3.595,1.31,12.158,1775.98
5.475,15.182,1.224,5.804,0.0
3.758,5.814,1.265,19.582,0.0
11.432,13.469,1.232,15.079,1146.42
13.083,27.023,1.176,22.862,1652.82
6.169,32.17,1.156,16.438,100.13
9.481,9.734,1.248,3.142,782.76
18.316,9.387,1.249,12.084,1739.99
16.561,-4.022,1.312,22.988,1542.34
5.958,18.144,1.212,9.728,440.97
8.328,3.806,1.275,3.15,540.92
16.44,2.553,1.28,7.4,2000.0
9.905,11.536,1.24,3.203,1152.16
2.991,0.122,1.292,10.365,0.0
13.21,13.547,1.231,8.248,1392.31
3.142,15.22,1.224,7.439,58.03
6.141,17.878,1.213,14.581,0.0
16.966,6.185,1.264,10.096,2000.0
4.523,-2.979,1.307,21.614,0.0
12.043,6.001,1.264,10.806,904.14
6.603,2.415,1.281,7.189,242.43
7.413,22.717,1.193,20.281,403.64
15.14,24.366,1.186,3.087,2000.0
17.089,16.229,1.22,19.396,1847.68
4.349,1.143,1.287,17.298,159.12
6.377,7.219,1.259,9.141,1900.11
16.877,20.158,1.203,11.784,1762.27
15.294,22.304,1.195,18.488,1472.75
5.531,15.1,1.225,11.821,171.78
8.853,21.149,1.199,19.432,306.8
10.037,29.901,1.165,13.223,1133.85
15.616,11.402,1.24,17.727,2000.0
7.89,13.902,1.23,4.831,531.99
8.945,10.229,1.246,20.282,557.12
2.524,14.946,1.225,14.827,0.0
13.11,-2.126,1.302,8.852,1272.32
11.638,26.313,1.179,5.651,634.5
15.126,29.473,1.166,12.024,1737.78
10.34,11.567,1.24,16.559,761.7
8.516,34.793,1.146,8.195,547.2
9.905,19.08,1.208,14.415,907.54
4.589,13.473,1.232,22.182,0.0
10.742,12.003,1.238,19.246,551.65
15.157,17.657,1.214,14.929,196.82
8.413,5.539,1.267,15.775,611.6
3.991,30.591,1.162,5.01,0.0
16.473,34.771,1.146,14.792,1626.14
13.108,-2.402,1.304,8.154,1628.11
7.047,1.177,1.287,3.243,290.42
2.068,-3.105,1.307,10.034,169.52
15.993,14.106,1.229,21.09,2000.0
2.759,8.983,1.251,13.358,58.82
4.376,32.187,1.156,14.704,277.58
18.487,24.716,1.185,18.241,1141.85
8.361,20.04,1.204,16.292,1327.99
6.04,25.244,1.183,18.657,510.1
4.998,-1.789,1.301,10.619,182.64
7.821,5.538,1.267,11.785,0.0
9.083,23.95,1.188,9.6,658.38
6.902,3.216,1.277,11.086,805.62
8.547,24.463,1.186,20.85,1981.2
4.767,32.703,1.154,10.294,551.88
9.125,19.489,1.206,12.931,0.0
10.904,30.87,1.161,8.102,1157.36
10.48,1.789,1.284,15.272,780.78
3.882,34.712,1.147,3.51,0.0
14.775,28.907,1.169,18.315,1799.0
5.857,2.046,1.283,11.743,500.69
4.106,14.968,1.225,9.523,118.9
9.146,0.089,1.292,7.105,745.05
15.493,15.627,1.222,8.339,1778.42
16.868,25.804,1.181,18.477,1103.87
10.424,23.543,1.19,4.238,964.76
18.718,-4.109,1.312,8.697,2000.0
17.578,6.653,1.262,13.246,1111.05
6.815,19.263,1.207,15.819,0.0
7.466,9.077,1.251,13.145,1221.78
2.874,17.71,1.214,6.089,0.0
6.775,21.517,1.198,15.959,0.0
14.607,28.525,1.17,21.448,1612.15
3.442,14.264,1.228,20.194,122.18
18.738,4.482,1.271,16.964,1350.02
14.895,17.507,1.214,5.917,2000.0
3.698,5.353,1.267,22.031,217.1
4.384,6.376,1.263,15.875,0.0
15.506,32.184,1.156,8.37,1777.97
5.554,24.843,1.185,12.436,0.0
6.728,-3.441,1.309,18.126,101.97
10.874,4.539,1.271,3.53,940.2
18.108,23.211,1.191,4.727,1925.91
6.383,7.305,1.259,15.2,264.83
15.993,5.533,1.267,20.215,29.49
3.858,-1.192,1.298,17.122,0.0
11.932,-1.411,1.299,13.129,1276.88
2.826,28.992,1.168,21.321,319.29
11.557,21.399,1.198,6.19,697.01
9.841,29.729,1.165,7.566,729.63
10.4,30.022,1.164,21.457,563.35
8.204,-2.792,1.306,14.796,164.41
14.328,28.828,1.169,6.086,2000.0
16.236,11.495,1.24,4.152,1793.95
11.847,-4.815,1.315,4.935,1403.97
7.371,34.742,1.146,6.893,230.03
4.798,33.977,1.149,13.904,0.0
7.167,34.145,1.149,14.869,107.25
3.639,-2.897,1.306,13.648,0.0
14.609,32.817,1.154,4.586,1313.15
14.79,5.034,1.269,11.915,2000.0
11.419,7.152,1.259,22.0,991.81
6.991,2.728,1.279,5.86,538.74
8.411,29.219,1.167,17.199,217.99
13.219,34.991,1.146,16.177,1967.51
17.254,15.875,1.221,17.958,1581.58
12.001,24.974,1.184,13.993,805.24
11.411,27.248,1.175,17.68,631.1
7.376,24.461,1.186,15.206,0.0
18.738,19.524,1.206,15.333,2000.0
4.087,-0.3,1.294,16.051,486.71
16.341,3.471,1.276,5.015,1819.95
18.594,0.063,1.292,18.86,1548.09
4.376,24.808,1.185,15.856,591.62
